Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),L*,a*,b*
145,887,B,1,H,1,13.65,0.137,26.491,4.206644175,8.137930648
145,887,B,1,H,1,13.71,0.137,26.552,4.179114971,8.125090064
145,887,B,1,H,1,13.77,0.138,26.554,4.1935851,8.083243812
145,887,B,1,H,1,13.83,0.138,26.649,4.228054561,8.010391892
145,887,B,1,H,1,13.88,0.139,26.578,4.30744527,7.933677628
145,887,B,1,H,1,13.94,0.139,26.578,4.39391351,7.860815315
145,887,B,1,H,1,14,0.14,26.61,4.487381082,7.756947333
145,887,B,1,H,1,14.06,0.141,26.781,4.608847988,7.656073683
145,887,B,1,H,1,14.12,0.141,26.786,4.821314227,7.572194365
145,887,B,1,H,1,14.18,0.142,26.779,4.981779799,7.469309377
145,887,B,1,H,1,14.23,0.142,26.646,5.125167267,7.370567558
145,887,B,1,H,1,14.29,0.143,26.603,5.259631617,7.285672178
145,887,B,1,H,1,14.35,0.143,26.625,5.3810953,7.20177113
145,887,B,1,H,1,14.41,0.144,26.026,5.481558316,7.138864413
145,887,B,1,H,1,14.47,0.145,25.332,5.570020665,7.116952028
145,887,B,1,H,1,14.52,0.145,24.985,5.615405447,7.111187376
145,887,B,1,H,1,14.58,0.146,24.745,5.640866574,7.051264599
145,887,B,1,H,1,14.64,0.146,24.685,5.627327034,7.031336152
145,887,B,1,H,1,14.7,0.147,24.639,5.579786828,7.080402037
145,887,B,1,H,1,14.76,0.148,24.658,5.505245954,7.093462254
145,887,B,1,H,1,14.81,0.148,24.569,5.411628051,7.049674771
145,887,B,1,H,1,14.87,0.149,24.304,5.283085955,7.098724595
145,887,B,1,H,1,14.93,0.149,24.227,5.125543192,7.17976875
145,887,B,1,H,1,14.99,0.15,24.435,4.912999763,7.259807237
145,887,B,1,H,1,15.05,0.15,24.553,4.727455666,7.411840056
145,887,B,1,H,1,15.1,0.151,24.312,4.598835077,7.490029741
145,887,B,1,H,1,15.16,0.152,24.089,4.480289758,7.512052167
145,887,B,1,H,1,15.22,0.152,24.023,4.385743773,7.528068924
145,887,B,1,H,1,15.28,0.153,24.026,4.29519712,7.547080013
145,887,B,1,H,1,15.34,0.153,24.072,4.227649801,7.548085433
145,887,B,1,H,1,15.4,0.154,24.215,4.188101815,7.528085185
145,887,B,1,H,1,15.45,0.155,24.187,4.198477984,7.527247315
145,887,B,1,H,1,15.51,0.155,24.101,4.229928776,7.534236674
145,887,B,1,H,1,15.57,0.156,24.245,4.188378901,7.506220365
145,887,B,1,H,1,15.63,0.156,24.353,4.180828359,7.463198387
145,887,B,1,H,1,15.69,0.157,24.461,4.19027715,7.41617074
145,887,B,1,H,1,15.74,0.157,24.436,4.206650634,7.371310038
145,887,B,1,H,1,15.8,0.158,24.345,4.215098203,7.331271999
145,887,B,1,H,1,15.86,0.159,24.487,4.229545105,7.273228292
145,887,B,1,H,1,15.92,0.159,24.785,4.23099134,7.198178916
145,887,B,1,H,1,15.98,0.16,25.187,4.309436908,7.103123871
145,887,B,1,H,1,16.03,0.16,25.506,4.343807706,7.088240337
145,887,B,1,H,1,16.09,0.161,25.56,4.364252052,7.0711749
145,887,B,1,H,1,16.15,0.162,25.612,4.354695731,7.012103795
145,887,B,1,H,1,16.21,0.162,25.728,4.313138744,6.981027021
145,887,B,1,H,1,16.27,0.163,26.074,4.246581089,7.006944578
145,887,B,1,H,1,16.32,0.163,26.361,4.162949201,7.010038212
145,887,B,1,H,1,16.38,0.164,26.47,4.079390325,7.009945377
145,887,B,1,H,1,16.44,0.164,26.228,3.928830781,7.017846874
145,887,B,1,H,1,16.5,0.165,25.965,3.767270571,6.987742701
145,887,B,1,H,1,16.56,0.166,25.781,3.643709693,6.960632861
145,887,B,1,H,1,16.62,0.166,25.791,3.562148149,6.950517351
145,887,B,1,H,1,16.67,0.167,25.693,3.48051302,6.93858343
145,887,B,1,H,1,16.73,0.167,25.489,3.431950254,6.941457528
145,887,B,1,H,1,16.79,0.168,25.429,3.39538682,6.942325958
145,887,B,1,H,1,16.85,0.168,25.406,3.36982272,6.937188719
145,887,B,1,H,1,16.91,0.169,25.627,3.237257954,6.938045811
145,887,B,1,H,1,16.96,0.17,25.728,3.173620139,6.920089058
145,887,B,1,H,1,17.02,0.17,25.859,3.175054149,6.906935758
145,887,B,1,H,1,17.08,0.171,25.985,3.230487493,6.89677679
145,887,B,1,H,1,17.14,0.171,26.219,3.33992017,6.881612153
145,887,B,1,H,1,17.2,0.172,26.537,3.510352181,6.862441847
145,887,B,1,H,1,17.25,0.173,26.82,3.72771168,6.851462262
145,887,B,1,H,1,17.31,0.173,27.055,3.975142468,6.848281564
145,887,B,1,H,1,17.37,0.174,27.601,4.362572589,6.810095198
145,887,B,1,H,1,17.43,0.174,27.858,4.646002043,6.789903163
145,887,B,1,H,1,17.49,0.175,27.889,4.894430831,6.793705459
145,887,B,1,H,1,17.54,0.175,28.064,5.089787644,6.795703042
145,887,B,1,H,1,17.6,0.176,28.382,5.22921521,6.794494946
145,887,B,1,H,1,17.66,0.177,28.439,5.347642108,6.802281181
145,887,B,1,H,1,17.72,0.177,28.385,5.421068339,6.815061748
145,887,B,1,H,1,17.78,0.178,28.226,5.444493904,6.842836646
145,887,B,1,H,1,17.84,0.178,28.024,5.415918802,6.805605876
145,887,B,1,H,1,17.89,0.179,27.788,5.427272374,6.799575904
145,887,B,1,H,1,17.95,0.18,27.598,5.42069605,6.827334741
145,887,B,1,H,1,18.01,0.18,27.47,5.386119058,6.883087909
145,887,B,1,H,1,18.07,0.181,27.265,5.2915414,6.965835409
145,887,B,1,H,1,18.13,0.181,27.233,5.162963075,7.067577241
145,887,B,1,H,1,18.18,0.182,27.287,4.996313962,7.186524437
145,887,B,1,H,1,18.24,0.182,27.175,4.784734414,7.328255876
145,887,B,1,H,1,18.3,0.183,27.182,4.5281542,7.481981646
145,887,B,1,H,1,18.36,0.184,27.265,4.400573319,7.638701748
145,887,B,1,H,1,18.42,0.184,27.567,4.297991771,7.785416182
145,887,B,1,H,1,18.47,0.185,27.801,4.221339972,7.932340546
145,887,B,1,H,1,18.53,0.185,28.045,4.168757202,8.068044587
145,887,B,1,H,1,18.59,0.186,28.29,4.143173765,8.184742959
