Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),L*,a*,b*
145,887,A,1,H,1,14.31,0.143,20.95,4.617392154,11.53320221
145,887,A,1,H,1,14.36,0.144,20.854,4.568634954,11.37123084
145,887,A,1,H,1,14.42,0.144,20.948,4.522329432,11.2286683
145,887,A,1,H,1,14.48,0.145,21.073,4.483027311,11.10910914
145,887,A,1,H,1,14.54,0.145,21.205,4.455728592,11.03155337
145,887,A,1,H,1,14.6,0.146,21.424,4.426433274,10.97900098
145,887,A,1,H,1,14.66,0.147,21.739,4.384141357,10.92745199
145,887,A,1,H,1,14.71,0.147,22.125,4.344400692,10.89249707
145,887,A,1,H,1,14.77,0.148,22.507,4.312115011,10.87295428
145,887,A,1,H,1,14.83,0.148,22.829,4.294832731,10.88441488
145,887,A,1,H,1,14.89,0.149,23.075,4.290553853,10.92487886
145,887,A,1,H,1,14.95,0.149,23.375,4.299278377,10.96634623
145,887,A,1,H,1,15.01,0.15,23.746,4.305006301,11.03081698
145,887,A,1,H,1,15.06,0.151,23.917,4.32828217,11.12487853
145,887,A,1,H,1,15.12,0.151,24.143,4.363016331,11.23435549
145,887,A,1,H,1,15.18,0.152,24.296,4.403753893,11.36983584
145,887,A,1,H,1,15.24,0.152,24.349,4.443494856,11.51431957
145,887,A,1,H,1,15.3,0.153,24.537,4.451239221,11.58280669
145,887,A,1,H,1,15.36,0.154,24.603,4.465986987,11.64629719
145,887,A,1,H,1,15.41,0.154,24.876,4.479279391,11.6813752
145,887,A,1,H,1,15.47,0.155,25.164,4.476033392,11.70387192
145,887,A,1,H,1,15.53,0.155,25.291,4.461790796,11.70637201
145,887,A,1,H,1,15.59,0.156,25.321,4.473551601,11.6858755
145,887,A,1,H,1,15.65,0.156,25.405,4.484315807,11.63238237
145,887,A,1,H,1,15.71,0.157,25.611,4.475083414,11.57289263
145,887,A,1,H,1,15.76,0.158,25.769,4.473392352,11.5879871
145,887,A,1,H,1,15.82,0.158,25.867,4.472166195,11.58850356
145,887,A,1,H,1,15.88,0.159,25.945,4.46894344,11.59402341
145,887,A,1,H,1,15.94,0.159,25.995,4.456724086,11.54154665
145,887,A,1,H,1,16,0.16,25.968,4.438508134,11.49607327
145,887,A,1,H,1,16.06,0.161,25.97,4.415295583,11.44160328
145,887,A,1,H,1,16.12,0.161,25.974,4.394086433,11.39413668
145,887,A,1,H,1,16.23,0.162,25.777,4.362211826,11.31279003
145,887,A,1,H,1,16.17,0.162,25.881,4.38441474,11.35925043
145,887,A,1,H,1,16.29,0.163,25.759,4.356012313,11.25133302
145,887,A,1,H,1,16.35,0.163,25.778,4.375816202,11.1978794
145,887,A,1,H,1,16.41,0.164,25.466,4.373623492,11.15742916
145,887,A,1,H,1,16.47,0.165,25.216,4.356434184,11.10698231
145,887,A,1,H,1,16.52,0.165,25.225,4.317779025,11.04011252
145,887,A,1,H,1,16.64,0.166,25.197,4.206416282,11.00123461
145,887,A,1,H,1,16.58,0.166,25.22,4.272595953,10.98567187
145,887,A,1,H,1,16.7,0.167,25.101,4.134240012,11.00580074
145,887,A,1,H,1,16.76,0.168,25.009,4.057067143,11.00837025
145,887,A,1,H,1,16.82,0.168,25.129,3.959897676,10.97494315
145,887,A,1,H,1,16.93,0.169,24.696,3.773095821,10.90566893
145,887,A,1,H,1,16.87,0.169,24.99,3.863259052,10.94308982
145,887,A,1,H,1,17.05,0.17,24.41,3.596779563,10.8128373
145,887,A,1,H,1,16.99,0.17,24.526,3.684935991,10.85625142
145,887,A,1,H,1,17.11,0.171,24.202,3.481626536,10.72442657
145,887,A,1,H,1,17.22,0.172,23.703,3.28785482,10.53818235
145,887,A,1,H,1,17.17,0.172,23.949,3.37447691,10.63501922
145,887,A,1,H,1,17.34,0.173,23.45,3.187571442,10.35338345
145,887,A,1,H,1,17.28,0.173,23.533,3.229711431,10.45578121
145,887,A,1,H,1,17.4,0.174,23.386,3.172434855,10.30398908
145,887,A,1,H,1,17.46,0.175,23.383,3.18730167,10.2625981
145,887,A,1,H,1,17.52,0.175,23.529,3.223171885,10.23521051
145,887,A,1,H,1,17.57,0.176,23.633,3.28156633,10.2113901
145,887,A,1,H,1,17.63,0.176,23.939,3.347442782,10.18800871
145,887,A,1,H,1,17.69,0.177,24.233,3.458322635,10.1926307
145,887,A,1,H,1,17.75,0.178,24.595,3.573205889,10.22325609
145,887,A,1,H,1,17.81,0.178,24.997,3.648092545,10.25488486
145,887,A,1,H,1,17.87,0.179,25.684,3.732982602,10.30651701
145,887,A,1,H,1,17.93,0.179,26.287,3.82087606,10.39515255
145,887,A,1,H,1,17.98,0.18,26.55,3.912289874,10.52335143
145,887,A,1,H,1,18.04,0.18,27.103,3.973189569,10.65499317
145,887,A,1,H,1,18.1,0.181,27.522,4.039092664,10.72363831
145,887,A,1,H,1,18.16,0.182,27.853,4.091999161,10.79328683
145,887,A,1,H,1,18.22,0.182,27.925,4.13490906,10.84493874
145,887,A,1,H,1,18.28,0.183,27.822,4.17082236,10.88759403
145,887,A,1,H,1,18.33,0.183,27.869,4.194252708,10.91480936
145,887,A,1,H,1,18.39,0.184,28.047,4.200172244,10.91647087
145,887,A,1,H,1,18.51,0.185,27.829,4.266021519,10.88680403
145,887,A,1,H,1,18.45,0.185,27.929,4.197095181,10.91413575
145,887,A,1,H,1,18.63,0.186,27.827,4.3268844,10.90915073
145,887,A,1,H,1,18.57,0.186,27.849,4.321951259,10.89947569
145,887,A,1,H,1,18.74,0.187,27.768,4.20527066,10.90806378
145,887,A,1,H,1,18.68,0.187,27.789,4.276331283,10.91738252
145,887,A,1,H,1,18.8,0.188,27.668,4.101213439,10.89374842
145,887,A,1,H,1,18.86,0.189,27.748,3.976159619,10.87443644
145,887,A,1,H,1,18.92,0.189,27.86,3.8591092,10.85712785
145,887,A,1,H,1,18.98,0.19,27.969,3.745062182,10.84782265
145,887,A,1,H,1,19.03,0.19,28.131,3.6505256,10.8420709
145,887,A,1,H,1,19.09,0.191,28.524,3.562484818,10.82277191
145,887,A,1,H,1,19.15,0.192,28.98,3.487447438,10.7924763
145,887,A,1,H,1,19.21,0.192,29.304,3.424413459,10.77118408
145,887,A,1,H,1,19.27,0.193,29.545,3.384382882,10.75489524
145,887,A,1,H,1,19.33,0.193,29.629,3.365355706,10.73560979
145,887,A,1,H,1,19.38,0.194,29.753,3.361835657,10.6998745
145,887,A,1,H,1,19.44,0.194,30.081,3.348814717,10.65259526
145,887,A,1,H,1,19.5,0.195,30.007,3.376797179,10.6223194
145,887,A,1,H,1,19.56,0.196,30.124,3.414783041,10.62104693
145,887,A,1,H,1,19.62,0.196,30.285,3.462772305,10.62377785
145,887,A,1,H,1,19.74,0.197,30.192,3.636761037,10.67524984
145,887,A,1,H,1,19.68,0.197,30.287,3.541764971,10.65451215
145,887,A,1,H,1,19.79,0.198,29.956,3.765260358,10.70453383
145,887,A,1,H,1,19.91,0.199,29.682,4.079268365,10.81402501
145,887,A,1,H,1,19.85,0.199,29.706,3.906262661,10.75627772
145,887,A,1,H,1,20.03,0.2,29.474,4.090289977,10.86552973
145,887,A,1,H,1,19.97,0.2,29.608,4.11027747,10.85877567
145,887,A,1,H,1,20.14,0.201,28.78,4.02482174,10.88458762
145,887,A,1,H,1,20.09,0.201,29.225,4.051305885,10.89528717
145,887,A,1,H,1,20.2,0.202,28.317,3.990843884,10.90635127
145,887,A,1,H,1,20.32,0.203,27.187,4.031898376,11.03988872
145,887,A,1,H,1,20.26,0.203,27.913,3.990869429,10.9391183
145,887,A,1,H,1,20.44,0.204,26.101,4.113966474,11.34943972
145,887,A,1,H,1,20.38,0.204,26.576,4.066930724,11.20566253
145,887,A,1,H,1,20.49,0.205,25.965,4.169498863,11.50275663
145,887,A,1,H,1,20.61,0.206,25.283,4.322586235,11.97432682
145,887,A,1,H,1,20.55,0.206,25.579,4.241540849,11.73754003
145,887,A,1,H,1,20.73,0.207,25.133,4.466687213,12.27991054
145,887,A,1,H,1,20.67,0.207,25.202,4.397635023,12.16811699
145,887,A,1,H,1,20.79,0.208,25.298,4.511742804,12.32270749
145,887,A,1,H,1,20.84,0.208,25.386,4.551291728,12.20004086
