Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),L*,a*,b*
145,887,C,1,H,1,21.1,0.211,27.37,4.909805492,14.94741179
145,887,C,1,H,1,21.21,0.212,27.054,4.965178017,14.92927101
145,887,C,1,H,1,21.16,0.212,27.194,4.94491735,14.91224378
145,887,C,1,H,1,21.27,0.213,26.988,4.970291761,14.96810435
145,887,C,1,H,1,21.33,0.213,27.075,4.945406532,15.02193844
145,887,C,1,H,1,21.45,0.214,27.108,4.868639161,15.19060884
145,887,C,1,H,1,21.39,0.214,27.191,4.908522332,15.08177327
145,887,C,1,H,1,21.5,0.215,26.945,4.81490397,15.31163905
145,887,C,1,H,1,21.56,0.216,27.102,4.733022683,15.43647598
145,887,C,1,H,1,21.62,0.216,27.22,4.658142425,15.57731365
145,887,C,1,H,1,21.68,0.217,27.438,4.573263195,15.70815206
145,887,C,1,H,1,21.73,0.217,27.695,4.485531289,15.85418464
145,887,C,1,H,1,21.79,0.218,28.088,4.382653945,15.97702441
145,887,C,1,H,1,21.85,0.218,28.397,4.296777628,16.09786492
145,887,C,1,H,1,21.91,0.219,28.706,4.237902341,16.21570617
145,887,C,1,H,1,21.97,0.22,28.966,4.176028081,16.32054816
145,887,C,1,H,1,22.02,0.22,29.227,4.087300317,16.46458372
145,887,C,1,H,1,22.08,0.221,29.515,4.022427942,16.56442707
145,887,C,1,H,1,22.14,0.221,29.519,3.992556596,16.64727116
145,887,C,1,H,1,22.2,0.222,29.531,3.984686278,16.69911599
145,887,C,1,H,1,22.31,0.223,29.644,4.016093366,16.69500011
145,887,C,1,H,1,22.25,0.223,29.675,3.987961799,16.73815392
145,887,C,1,H,1,22.43,0.224,29.366,4.160359586,16.45769471
145,887,C,1,H,1,22.37,0.224,29.467,4.071225962,16.58884704
145,887,C,1,H,1,22.54,0.225,29.097,4.318773901,16.22858403
145,887,C,1,H,1,22.49,0.225,29.191,4.258494238,16.32054312
145,887,C,1,H,1,22.6,0.226,28.906,4.384910439,16.1394338
145,887,C,1,H,1,22.72,0.227,28.675,4.521186599,15.90813557
145,887,C,1,H,1,22.66,0.227,28.802,4.450048004,16.02928432
145,887,C,1,H,1,22.83,0.228,28.328,4.654610025,15.67103146
145,887,C,1,H,1,22.77,0.228,28.532,4.591469546,15.78117884
145,887,C,1,H,1,22.95,0.229,28.195,4.776894069,15.4097389
145,887,C,1,H,1,22.89,0.229,28.244,4.718751533,15.56288481
145,887,C,1,H,1,23.01,0.23,28.159,4.853037634,15.24959374
145,887,C,1,H,1,23.06,0.231,28.235,4.887324723,15.12664
145,887,C,1,H,1,23.12,0.231,28.266,4.899470172,15.03649619
145,887,C,1,H,1,23.18,0.232,28.266,4.91561665,14.98235312
145,887,C,1,H,1,23.24,0.232,28.287,4.934764156,14.9672108
145,887,C,1,H,1,23.29,0.233,28.366,4.93905453,14.99625942
145,887,C,1,H,1,23.35,0.234,28.358,4.919203922,15.09311846
145,887,C,1,H,1,23.41,0.234,28.363,4.862354342,15.29497823
145,887,C,1,H,1,23.47,0.235,28.383,4.83850579,15.41683874
145,887,C,1,H,1,23.53,0.235,28.434,4.817658266,15.5077
145,887,C,1,H,1,23.58,0.236,28.464,4.803952782,15.59875161
145,887,C,1,H,1,23.64,0.236,28.529,4.787107143,15.64261422
145,887,C,1,H,1,23.7,0.237,28.464,4.784262533,15.64747758
145,887,C,1,H,1,23.82,0.238,28.282,4.786576398,15.64220651
145,887,C,1,H,1,23.76,0.238,28.342,4.783418951,15.64634167
145,887,C,1,H,1,23.93,0.239,28.041,4.819034387,15.5511273
145,887,C,1,H,1,23.87,0.239,28.171,4.796875056,15.6272611
145,887,C,1,H,1,24.05,0.24,27.734,4.861356136,15.35786191
145,887,C,1,H,1,23.99,0.24,27.902,4.841194747,15.47899423
